0	Generic	NotDef	NOTDEF
411	Hangul	rAE	uniAE3A
412	Hangul	rAE	uniAE40
413	Hangul	rAE	uniAE41
414	Hangul	rAE	uniAE43
415	Hangul	rAE	uniAE44
416	Hangul	rAE	uniAE45
417	Hangul	rAE	uniAE46
418	Hangul	rAE	uniAE4A
419	Hangul	rAE	uniAE4C
420	Hangul	rAE	uniAE4D
421	Hangul	rAE	uniAE4E
422	Hangul	rAE	uniAE50
423	Hangul	rAE	uniAE54
424	Hangul	rAE	uniAE56
425	Hangul	rAE	uniAE5C
426	Hangul	rAE	uniAE5D
427	Hangul	rAE	uniAE5F
428	Hangul	rAE	uniAE60
429	Hangul	rAE	uniAE61
430	Hangul	rAE	uniAE65
431	Hangul	rAE	uniAE68
432	Hangul	rAE	uniAE69
433	Hangul	rAE	uniAE6C
434	Hangul	rAE	uniAE6F
435	Hangul	rAE	uniAE70
436	Hangul	rAE	uniAE78
437	Hangul	rAE	uniAE79
438	Hangul	rAE	uniAE7B
439	Hangul	rAE	uniAE7C
440	Hangul	rAE	uniAE7D
441	Hangul	rAE	uniAE84
442	Hangul	rAE	uniAE85
443	Hangul	rAE	uniAE86
444	Hangul	rAE	uniAE8C
445	Hangul	rAE	uniAE8D
446	Hangul	rAE	uniAEA0
447	Hangul	rAE	uniAEA4
448	Hangul	rAE	uniAEBC
449	Hangul	rAE	uniAEBD
450	Hangul	rAE	uniAEBE
451	Hangul	rAE	uniAEC0
452	Hangul	rAE	uniAEC4
453	Hangul	rAE	uniAECC
454	Hangul	rAE	uniAECD
455	Hangul	rAE	uniAECF
456	Hangul	rAE	uniAED0
457	Hangul	rAE	uniAED1
458	Hangul	rAE	uniAED3
459	Hangul	rAE	uniAED5
460	Hangul	rAE	uniAED8
461	Hangul	rAE	uniAED9
462	Hangul	rAE	uniAEDC
463	Hangul	rAE	uniAEE8
464	Hangul	rAE	uniAEEB
465	Hangul	rAE	uniAEED
466	Hangul	rAE	uniAEF4
467	Hangul	rAE	uniAEF8
468	Hangul	rAE	uniAEFC
469	Hangul	rAF	uniAF07
470	Hangul	rAF	uniAF08
471	Hangul	rAF	uniAF09
472	Hangul	rAF	uniAF0D
473	Hangul	rAF	uniAF10
474	Hangul	rAF	uniAF2C
475	Hangul	rAF	uniAF2D
476	Hangul	rAF	uniAF30
477	Hangul	rAF	uniAF32
478	Hangul	rAF	uniAF33
479	Hangul	rAF	uniAF34
480	Hangul	rAF	uniAF3C
481	Hangul	rAF	uniAF3D
482	Hangul	rAF	uniAF3F
483	Hangul	rAF	uniAF41
484	Hangul	rAF	uniAF42
485	Hangul	rAF	uniAF43
486	Hangul	rAF	uniAF45
487	Hangul	rAF	uniAF48
488	Hangul	rAF	uniAF49
489	Hangul	rAF	uniAF4C
490	Hangul	rAF	uniAF50
491	Hangul	rAF	uniAF5C
492	Hangul	rAF	uniAF5D
493	Hangul	rAF	uniAF64
494	Hangul	rAF	uniAF65
495	Hangul	rAF	uniAF68
496	Hangul	rAF	uniAF78
497	Hangul	rAF	uniAF79
498	Hangul	rAF	uniAF80
499	Hangul	rAF	uniAF84
500	Hangul	rAF	uniAF88
501	Hangul	rAF	uniAF90
502	Hangul	rAF	uniAF91
503	Hangul	rAF	uniAF95
504	Hangul	rAF	uniAF9C
505	Hangul	rAF	uniAFB8
506	Hangul	rAF	uniAFB9
507	Hangul	rAF	uniAFBC
508	Hangul	rAF	uniAFC0
509	Hangul	rAF	uniAFC7
510	Hangul	rAF	uniAFC8
511	Hangul	rAF	uniAFC9
512	Hangul	rAF	uniAFCB
513	Hangul	rAF	uniAFCD
514	Hangul	rAF	uniAFCE
515	Hangul	rAF	uniAFCF
516	Hangul	rAF	uniAFD4
517	Hangul	rAF	uniAFD8
518	Hangul	rAF	uniAFDC
519	Hangul	rAF	uniAFE8
520	Hangul	rAF	uniAFE9
521	Hangul	rAF	uniAFF0
522	Hangul	rAF	uniAFF1
523	Hangul	rAF	uniAFF4
524	Hangul	rAF	uniAFF8
525	Hangul	rB0	uniB000
526	Hangul	rB0	uniB001
527	Hangul	rB0	uniB004
528	Hangul	rB0	uniB00C
529	Hangul	rB0	uniB010
530	Hangul	rB0	uniB014
531	Hangul	rB0	uniB01C
532	Hangul	rB0	uniB01D
533	Hangul	rB0	uniB028
534	Hangul	rB0	uniB030
535	Hangul	rB0	uniB03C
536	Hangul	rB0	uniB044
537	Hangul	rB0	uniB045
538	Hangul	rB0	uniB048
539	Hangul	rB0	uniB04A
540	Hangul	rB0	uniB04C
541	Hangul	rB0	uniB04E
542	Hangul	rB0	uniB053
543	Hangul	rB0	uniB054
544	Hangul	rB0	uniB055
545	Hangul	rB0	uniB057
546	Hangul	rB0	uniB059
547	Hangul	rB0	uniB05D
548	Hangul	rB0	uniB060
549	Hangul	rB0	uniB064
550	Hangul	rB0	uniB07C
551	Hangul	rB0	uniB07D
552	Hangul	rB0	uniB080
553	Hangul	rB0	uniB084
554	Hangul	rB0	uniB08C
555	Hangul	rB0	uniB08D
556	Hangul	rB0	uniB08F
557	Hangul	rB0	uniB090
558	Hangul	rB0	uniB091
559	Hangul	rB0	uniB098
560	Hangul	rB0	uniB099
561	Hangul	rB0	uniB09A
562	Hangul	rB0	uniB09C
563	Hangul	rB0	uniB09F
564	Hangul	rB0	uniB0A0
565	Hangul	rB0	uniB0A1
566	Hangul	rB0	uniB0A2
567	Hangul	rB0	uniB0A8
568	Hangul	rB0	uniB0A9
569	Hangul	rB0	uniB0AB
570	Hangul	rB0	uniB0AC
571	Hangul	rB0	uniB0AD
572	Hangul	rB0	uniB0AE
573	Hangul	rB0	uniB0AF
574	Hangul	rB0	uniB0B1
575	Hangul	rB0	uniB0B3
576	Hangul	rB0	uniB0B4
577	Hangul	rB0	uniB0B5
578	Hangul	rB0	uniB0B8
579	Hangul	rB0	uniB0BB
580	Hangul	rB0	uniB0BC
581	Hangul	rB0	uniB0C4
582	Hangul	rB0	uniB0C5
583	Hangul	rB0	uniB0C7
584	Hangul	rB0	uniB0C8
585	Hangul	rB0	uniB0C9
586	Hangul	rB0	uniB0D0
587	Hangul	rB0	uniB0D1
588	Hangul	rB0	uniB0D4
589	Hangul	rB0	uniB0D7
590	Hangul	rB0	uniB0D8
591	Hangul	rB0	uniB0E0
592	Hangul	rB0	uniB0E1
593	Hangul	rB0	uniB0E3
594	Hangul	rB0	uniB0E5
595	Hangul	rB0	uniB0EC
596	Hangul	rB1	uniB108
597	Hangul	rB1	uniB109
598	Hangul	rB1	uniB10B
599	Hangul	rB1	uniB10C
600	Hangul	rB1	uniB10F
601	Hangul	rB1	uniB110
602	Hangul	rB1	uniB111
603	Hangul	rB1	uniB112
604	Hangul	rB1	uniB113
605	Hangul	rB1	uniB118
606	Hangul	rB1	uniB119
607	Hangul	rB1	uniB11B
608	Hangul	rB1	uniB11C
609	Hangul	rB1	uniB11D
610	Hangul	rB1	uniB122
611	Hangul	rB1	uniB123
612	Hangul	rB1	uniB124
613	Hangul	rB1	uniB125
614	Hangul	rB1	uniB128
615	Hangul	rB1	uniB12B
616	Hangul	rB1	uniB12C
617	Hangul	rB1	uniB134
618	Hangul	rB1	uniB135
619	Hangul	rB1	uniB137
620	Hangul	rB1	uniB138
621	Hangul	rB1	uniB139
622	Hangul	rB1	uniB13E
623	Hangul	rB1	uniB140
624	Hangul	rB1	uniB141
625	Hangul	rB1	uniB144
626	Hangul	rB1	uniB147
627	Hangul	rB1	uniB148
628	Hangul	rB1	uniB150
629	Hangul	rB1	uniB151
630	Hangul	rB1	uniB154
631	Hangul	rB1	uniB155
632	Hangul	rB1	uniB158
633	Hangul	rB1	uniB15C
634	Hangul	rB1	uniB160
635	Hangul	rB1	uniB171
636	Hangul	rB1	uniB178
637	Hangul	rB1	uniB179
638	Hangul	rB1	uniB17C
639	Hangul	rB1	uniB180
640	Hangul	rB1	uniB181
641	Hangul	rB1	uniB182
642	Hangul	rB1	uniB188
643	Hangul	rB1	uniB189
644	Hangul	rB1	uniB18B
645	Hangul	rB1	uniB18D
646	Hangul	rB1	uniB191
647	Hangul	rB1	uniB192
648	Hangul	rB1	uniB193
649	Hangul	rB1	uniB194
650	Hangul	rB1	uniB198
651	Hangul	rB1	uniB19C
652	Hangul	rB1	uniB1A5
653	Hangul	rB1	uniB1A8
654	Hangul	rB1	uniB1B0
655	Hangul	rB1	uniB1C4
656	Hangul	rB1	uniB1CC
